Periode;org_1;org_2;org_3;sto;order_id;trouble_no;ket_exclude;Wilsus
202605;AREA 2;WESTERN JABOTABEK;SERANG;CKA;AOi4260325074136796c1d1e0;INC49641223;;0
202605;AREA 3;JATIM;MALANG;NTG;AOi4260331082653601b81520;INC49637226;;1
202605;AREA 3;BALI NUSRA;KUPANG;KPN;AOi4260326052346925b31b30;INC49632748;;0
202605;AREA 3;JATIM;MALANG;NTG;AOi4260331082653601b81520;INC49631200;;1
202605;AREA 3;JATENG-DIY;MAGELANG;MUN;AOi426032912434556742a250;INC49622193;;0
202605;AREA 3;JATENG-DIY;SURAKARTA;BYL;AOi4260328054619155966890;INC49619724;;0
202605;AREA 1;SUMBAGSEL;LAMPUNG;KLA;AOi4260328085308594861b60;INC49618090;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;TTG;AOi4260331105533954d13e50;INC49616763;;0
202605;AREA 1;SUMBAGUT;RANTAU PRAPAT;RAP;AOi4260329033604127b4f6c0;INC49615120;;0
202605;AREA 3;JATIM;LAMONGAN;GSK;AOi426033005165761613b0c0;INC49615527;;0
202605;AREA 4;SULAWESI;PALU;PLA;AOi4260331120720484c548f0;INC49615405;;0
202605;AREA 2;WESTERN JABOTABEK;TANGERANG;TAN;AOi42603280325151407f87a0;INC49613113;;0
202605;AREA 1;SUMBAGUT;BANDA ACEH;LBR;AOi4260328020048741a32980;INC49612086;;0
202605;AREA 2;CENTRAL JABOTABEK;NORTHERN JAKARTA;MRD;AOi4260326011831757a11b40;INC49611021;;0
202605;AREA 4;KALIMANTAN;TARAKAN;TAJ;AOi4260331092722779e14480;INC49610182;;0
202605;AREA 2;JABAR;BANDUNG;GGK;PDAk4260324092841456815890;INC49609277;;0
202605;AREA 1;SUMBAGUT;CENTRAL MEDAN;SPM;AOs3260329112028222d70150;INC49607498;;0
202605;AREA 1;SUMBAGUT;WESTERN MEDAN;KSG;AOi4260319123629672922280;INC49605944;;0
202605;AREA 2;JABAR;CIREBON;CKC;AOi4260331113130468ad1140;INC49604740;;0
202605;AREA 4;SULAWESI;PALU;KOL;AOi4260324115433289bd0d90;INC49604731;;0
